2022-06-11 21:14:08.957334, 250, 50, 17
2022-06-11 21:16:12.605413, 270, 65, 17
2022-06-11 21:22:01.249569, 265, 70, 17
2022-06-11 21:26:28.825932, 270, 80, 17
2022-06-11 21:41:03.736528, 270, 65, 17
2022-06-11 21:47:22.643013, 270, 65, 17
2022-06-11 21:48:47.469992, 265, 65, 18
2022-06-11 21:49:19.312652, 265, 65, 17
2022-06-11 21:53:45.422245, 263, 40, 15
2022-06-11 21:58:36.392041, 300, 5, 6
2022-06-11 21:59:00.629963, 200, 45, 6
2022-06-11 22:08:18.430037, 200, 30, 12
2022-06-12 16:25:50.507717, 205, 60, 15 {phone_number}
2022-06-12 16:32:09.065989, 200, 3, 34 {phone_number}
2022-06-13 00:43:34.371892, 130, 23, 12 {90900231600}
